               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.056636,            0.011468,            0.009382,             0.94598,                   1,             0.99024,             0.67085,            0.022963,           0.0057284,            0.004779,           0.0084556,           0.0084556,           0.0084556
                  80,            0.041777,           0.0093076,            0.011279,             0.94598,                   1,             0.99024,             0.67085,            0.022963,           0.0057284,            0.004779,           0.0084358,           0.0084358,           0.0084358
                  81,            0.039003,             0.01275,           0.0094591,             0.98024,                   1,               0.995,             0.71134,            0.017994,           0.0058687,           0.0049513,            0.008416,            0.008416,            0.008416
                  82,            0.047327,            0.011024,            0.011398,             0.86668,                   1,              0.9482,             0.49352,            0.028972,           0.0061627,           0.0046299,           0.0083962,           0.0083962,           0.0083962
                  83,            0.049263,            0.012552,            0.011181,              0.7302,             0.95312,             0.95601,             0.66691,            0.025366,           0.0062277,           0.0047142,           0.0083764,           0.0083764,           0.0083764
                  84,            0.046331,            0.010547,           0.0095125,              0.7302,             0.95312,             0.95601,             0.66691,            0.025366,           0.0062277,           0.0047142,           0.0083566,           0.0083566,           0.0083566
                  85,            0.039116,            0.012501,           0.0081369,             0.96972,                   1,               0.995,             0.70875,            0.019276,           0.0061209,           0.0048119,           0.0083368,           0.0083368,           0.0083368
                  86,            0.037036,            0.011132,           0.0072005,             0.69567,             0.90321,             0.87314,             0.53667,            0.023087,           0.0058564,           0.0045395,            0.008317,            0.008317,            0.008317
                  87,            0.043874,            0.012033,            0.013228,             0.81848,                   1,             0.96422,             0.60043,            0.021578,           0.0056589,           0.0071019,           0.0082972,           0.0082972,           0.0082972
                  88,            0.040363,             0.01078,              0.0101,             0.81848,                   1,             0.96422,             0.60043,            0.021578,           0.0056589,           0.0071019,           0.0082774,           0.0082774,           0.0082774
                  89,            0.039675,            0.012056,           0.0096171,             0.68453,                   1,             0.88029,              0.4846,            0.021086,           0.0056892,           0.0065385,           0.0082576,           0.0082576,           0.0082576
                  90,            0.043861,            0.011267,            0.010284,             0.70712,             0.89414,             0.82859,             0.37111,            0.033018,           0.0055398,           0.0069479,           0.0082378,           0.0082378,           0.0082378
                  91,            0.048655,            0.010957,           0.0094823,             0.69388,               0.975,             0.86932,             0.53939,            0.024624,           0.0053819,           0.0049614,            0.008218,            0.008218,            0.008218
                  92,            0.041329,            0.010037,           0.0097012,             0.69388,               0.975,             0.86932,             0.53939,            0.024624,           0.0053819,           0.0049614,           0.0081982,           0.0081982,           0.0081982
                  93,            0.035329,            0.011798,           0.0092646,             0.99054,                   1,               0.995,             0.69149,            0.018952,           0.0053549,           0.0047766,           0.0081784,           0.0081784,           0.0081784
                  94,            0.037119,            0.011169,           0.0086372,             0.82606,             0.95458,             0.98127,             0.48544,            0.028235,           0.0067806,           0.0089144,           0.0081586,           0.0081586,           0.0081586
                  95,            0.043184,            0.011198,            0.010609,             0.84018,              0.9491,             0.87377,             0.60553,            0.021463,           0.0076143,           0.0078574,           0.0081388,           0.0081388,           0.0081388
                  96,            0.036051,            0.011054,           0.0091903,             0.84018,              0.9491,             0.87377,             0.60553,            0.021463,           0.0076143,           0.0078574,            0.008119,            0.008119,            0.008119
                  97,            0.035747,            0.010422,           0.0089466,             0.83136,               0.975,              0.8709,             0.60878,            0.021971,           0.0073737,           0.0065567,           0.0080992,           0.0080992,           0.0080992
                  98,            0.037348,            0.010459,           0.0082892,             0.56706,               0.925,              0.7764,             0.45215,            0.026316,           0.0054672,           0.0039023,           0.0080794,           0.0080794,           0.0080794
                  99,            0.040543,            0.012482,           0.0074763,             0.88103,                   1,             0.97626,             0.61983,            0.020689,           0.0052187,           0.0037378,           0.0080596,           0.0080596,           0.0080596
                 100,             0.04736,           0.0092017,            0.010009,             0.88103,                   1,             0.97626,             0.61983,            0.020689,           0.0052187,           0.0037378,           0.0080398,           0.0080398,           0.0080398
                 101,              0.0382,             0.01016,           0.0096574,             0.85342,             0.99461,             0.97688,             0.63439,            0.020097,           0.0054964,           0.0045492,             0.00802,             0.00802,             0.00802
